internal_card_mapping,first_active_month,reward_program,latitude,longitude,fico_score,age
C_ID_0002709b5a,2019-08,travel,41.803,-72.66,812,20
C_ID_0007a60a33,2021-06,cash_back,42.22,-71.813,849,34
C_ID_000b3dbdea,2021-11,cash_back,42.685,-73.713,376,28
C_ID_000cfb6503,2020-09,cash_back,41.696,-73.924,787,32
C_ID_000f7b7753,2021-07,travel,42.304,-71.787,409,19
C_ID_001b4c5151,2021-02,travel,41.665,-73.959,667,19
C_ID_001fc7b4d5,2021-08,cash_back,40.41,-80.037,640,44
C_ID_0022d08784,2020-06,dining_entertainment,40.393,-79.983,685,66
C_ID_002bfe78ca,2021-05,cash_back,44.531,-69.618,714,59
C_ID_003020001e,2020-07,dining_entertainment,43.234,-71.59,651,35
C_ID_003364d2f9,2016-09,cash_back,41.744,-73.955,318,21
C_ID_003839dd44,2020-10,cash_back,41.705,-73.879,403,54
C_ID_003e56029c,2021-03,travel,41.778,-72.679,389,42
C_ID_0042fd0256,2021-07,cash_back,42.231,-71.795,600,59
C_ID_0048665750,2021-10,cash_back,41.682,-73.95,687,58
C_ID_005030a950,2021-11,dining_entertainment,43.213,-71.523,371,33
C_ID_005b760e6e,2020-11,dining_entertainment,40.147,-76.886,749,20
C_ID_0064573627,2021-03,cash_back,40.478,-79.98,520,35
C_ID_0069c1a32c,2021-01,dining_entertainment,42.628,-73.745,719,82
C_ID_0071913ad1,2021-01,cash_back,43.245,-71.521,619,24
C_ID_00746e43ac,2020-09,cash_back,41.773,-72.686,407,55
C_ID_007cda8466,2021-02,dining_entertainment,42.603,-73.773,472,82
C_ID_008431f3f4,2021-03,dining_entertainment,40.447,-79.976,326,87
C_ID_008bdbf77a,2018-12,travel,40.469,-79.96,689,94
C_ID_008fd02f4e,2021-08,cash_back,40.472,-79.969,581,31
C_ID_00921a81b5,2019-06,cash_back,40.47,-80.005,546,80
C_ID_009590f742,2021-08,dining_entertainment,43.16,-71.498,838,41
C_ID_009a8908bb,2021-10,travel,43.179,-71.577,496,28
C_ID_00a42df384,2021-05,cash_back,41.655,-73.882,761,74
C_ID_00af3335a8,2021-08,dining_entertainment,40.409,-80.026,622,26
C_ID_00b93fe466,2021-07,cash_back,40.392,-79.982,416,24
C_ID_00bc2cdcdc,2020-09,dining_entertainment,41.706,-73.975,391,26
C_ID_00c74ce3e5,2017-11,dining_entertainment,42.608,-73.775,595,29
C_ID_00d189cc0d,2021-10,cash_back,42.264,-71.849,843,42
C_ID_00d5520563,2020-11,dining_entertainment,41.71,-73.914,310,47
C_ID_00d96e1871,2018-05,cash_back,40.446,-80.006,691,83
C_ID_00e09bac8b,2021-10,cash_back,42.217,-71.801,526,51
C_ID_00e39e96d5,2020-01,cash_back,40.388,-80.029,512,30
C_ID_00ee71beb8,2020-12,cash_back,42.304,-71.846,805,41
C_ID_00f7454fde,2021-09,travel,42.682,-73.737,447,47
C_ID_0105548204,2021-06,cash_back,42.273,-71.797,310,21
C_ID_010da3d3f6,2021-03,travel,42.65,-73.725,715,86
C_ID_0113eae634,2021-12,travel,43.216,-71.51,719,63
C_ID_01188311a1,2021-03,cash_back,42.688,-73.73,846,54
C_ID_011b4c6384,2021-03,dining_entertainment,42.222,-71.842,475,29
C_ID_0123ac9245,2020-03,cash_back,41.785,-72.653,335,29
C_ID_012c920045,2021-03,cash_back,41.795,-72.652,727,66
C_ID_0134b625d2,2021-03,travel,42.257,-71.836,680,32
C_ID_01398d09ad,2020-10,dining_entertainment,42.275,-71.839,645,70
C_ID_01435a1aa8,2020-05,travel,43.203,-71.517,818,32
C_ID_01472b44cd,2021-01,cash_back,43.196,-71.498,725,59
C_ID_014afee956,2020-12,travel,41.672,-73.957,446,62
C_ID_01526ebf6f,2021-06,cash_back,40.444,-79.966,836,38
C_ID_01573f3b3d,2021-10,travel,43.185,-71.569,833,36
C_ID_015ed84694,2020-10,cash_back,42.292,-71.816,844,28
C_ID_016511c6af,2021-04,travel,43.164,-71.56,572,61
C_ID_016c784f2e,2021-10,cash_back,40.423,-79.969,351,22
