merchant_id,merchant_category_id,subsector_description,latitude,longitude
M_ID_0000edb21f,422,consumer electronics,41.803,-72.66
M_ID_0000fd7caf,557,retail apparel,43.223,-71.518
M_ID_0002237144,171,gas,43.172,-71.593
M_ID_00037f6a5d,68,consumer electronics,42.646,-73.758
M_ID_0003f1b272,278,restaurant/dining,44.191,-73.848
M_ID_0003f9a7c4,289,consumer electronics,42.22,-71.813
M_ID_00043c6fe0,130,luxury goods,42.268,-71.791
M_ID_0004e8d213,437,liquor,45.471,-67.801
M_ID_000572bc62,206,biotechnology,42.269,-77.028
M_ID_0006591673,367,carpentry,42.692,-73.745
M_ID_000978f3c7,783,entertainment,41.698,-73.966
M_ID_000a84609a,19,real estate investments,42.685,-73.713
M_ID_000a990142,557,retail apparel,41.697,-73.94
M_ID_000ab1982d,307,entertainment,40.483,-80.012
M_ID_000b0ae39a,769,consumer electronics,39.868,-79.969
M_ID_000bfbd049,307,entertainment,40.412,-80.03
M_ID_0010d01491,401,luxury goods,41.696,-73.924
M_ID_00110f730e,108,gas,42.249,-71.774
M_ID_0011dac4a7,796,insurance,40.456,-80.032
M_ID_001223ffe3,307,entertainment,43.24,-71.589
M_ID_0012ed46b7,419,biotechnology,42.304,-71.787
M_ID_0012f3b727,842,restaurant/dining,40.401,-79.97
M_ID_001306f1cb,818,semiconductors,42.811,-72.569
M_ID_00132aab3f,755,internet,41.805,-72.683
M_ID_0013d298b2,307,entertainment,43.24,-71.517
M_ID_0015138641,518,consumer electronics,41.665,-73.959
M_ID_0018c9c0d8,457,luxury goods,41.741,-72.675
M_ID_0018cf6968,198,insurance,42.229,-71.827
M_ID_001a0bad4e,560,gas,42.221,-71.827
M_ID_001abe0f47,68,consumer electronics,40.41,-80.037
M_ID_001ae709d0,299,luxury goods,41.758,-72.647
M_ID_001c879eac,416,internet,42.659,-73.772
M_ID_001d92b649,889,consumer electronics,42.678,-73.782
M_ID_001f188e08,683,gas,40.091,-75.931
M_ID_001f2a0d1d,401,luxury goods,40.393,-79.983
M_ID_00217efbbb,705,groceries,41.651,-73.878
M_ID_00259bf1fd,45,hotel,41.802,-72.687
M_ID_00264da178,171,gas,41.79,-72.722
M_ID_00273a4b5c,309,beauty & personal care,42.629,-73.771
M_ID_00273d0621,108,gas,40.525,-79.233
M_ID_002a46d5e9,80,restaurant/dining,40.406,-80.003
M_ID_002b3f848c,307,entertainment,43.234,-71.59
M_ID_002bcd18da,307,entertainment,43.236,-71.552
M_ID_002c70935a,108,gas,42.626,-73.78
M_ID_002ed04ceb,416,internet,42.658,-71.111
M_ID_002f51ae9f,298,insurance,42.237,-71.758
M_ID_002fb3b301,307,entertainment,41.744,-73.955
M_ID_002fbf1c79,367,carpentry,40.728,-77.072
M_ID_00304accf5,108,gas,41.722,-73.921
M_ID_0031859046,651,news & journalism,40.388,-80.024
M_ID_0031a098ae,179,internet,42.213,-71.77
M_ID_0034161a19,560,gas,41.705,-73.879
M_ID_00341ca50b,307,entertainment,43.277,-76.676
M_ID_0034683b54,367,carpentry,43.23,-71.579
M_ID_0035a90d3d,343,internet,40.437,-80.007
M_ID_0036718194,363,hotel,42.232,-71.78
M_ID_003744d4bd,422,consumer electronics,41.778,-72.679
